client_number,customer_name,card_category,annual_fees,activation,customer_execuation_cast,week_start,week_number,quater,current_year,credit_limit,total_revolving_balance,total_transection_amount,total_transection_count,average_utilization_ratio,use_chip,expendeture_type,interest_earn,deliquent_account
C100034,Imran Sheikh,Silver,50,0,46.8,2024-10-07,41,4,2024,8286,3702.04,1735.92,11,0.4468,swipe,Education,1088.21,1
C100035,Yahya Rashid,Platinum,300,1,165.59,2024-09-30,40,4,2024,19880,6558.75,22281.65,48,0.3299,chip,Shopping,1648.34,1
C100036,Rida Siddiqui,Silver,50,1,34.65,2024-03-18,12,1,2024,10229,1909.7,2781.94,10,0.1867,chip,Bills,445.7,1
C100037,Omar Ahmed,Silver,50,1,57.25,2024-04-29,18,2,2024,4130,1985.77,1193.14,12,0.4808,online,Grocery,364.88,0
C100038,Kiran Qureshi,Silver,50,1,50.1,2024-02-05,6,1,2024,8856,3489.66,3461.56,23,0.394,online,Fuel,833.68,0
C100039,Zara Ullah,Blue,20,1,20.07,2024-06-03,23,2,2024,3428,2323.92,694.85,10,0.6779,chip,Entertainment,455.71,1
C100040,Maryam Farooq,Blue,20,1,9.23,2024-02-05,6,1,2024,2726,1222.42,666.38,9,0.4484,chip,Education,235.44,0
C100041,Kiran Anjum,Blue,20,1,14.35,2024-05-13,20,2,2024,2973,1330.27,115.9,2,0.4475,chip,Shopping,222.91,0
C100042,Hafsa Nawaz,Blue,20,1,23.64,2024-09-30,40,4,2024,3764,164.68,243.51,4,0.0438,swipe,Entertainment,47.32,0
C100043,Noman Khan,Gold,150,1,114.61,2024-12-02,49,4,2024,15641,1243.75,10064.8,37,0.0795,chip,Travel,266.17,0
C100044,Zain Hashmi,Silver,50,1,67.03,2024-11-04,45,4,2024,6533,3080.35,1512.72,18,0.4715,chip,Shopping,617.2,1
C100045,Khalid Shah,Silver,50,1,37.07,2024-01-22,4,1,2024,7305,1971.48,1703.5,16,0.2699,chip,Healthcare,412.17,0
C100046,Ahmed Khan,Blue,20,1,25.34,2024-05-13,20,2,2024,3811,1310.63,458.3,8,0.3439,chip,Education,200.31,0
C100047,Leen Aziz,Blue,20,1,0.03,2024-12-16,51,4,2024,2563,1683.05,453.54,7,0.6567,chip,Bills,286.0,1
C100048,Asad Yousaf,Silver,50,1,34.73,2024-01-22,4,1,2024,7815,1743.89,1425.85,16,0.2231,online,Shopping,392.75,0
C100049,Ahmed Saleem,Silver,50,1,47.03,2024-12-02,49,4,2024,7401,2410.55,1209.38,10,0.3257,chip,Shopping,496.32,0
C100050,Sara Nazir,Gold,150,0,147.7,2024-04-29,18,2,2024,19324,5321.74,11148.8,30,0.2754,chip,Travel,916.72,0
C100051,Ateeq Butt,Gold,150,1,104.71,2024-07-29,31,3,2024,15341,3356.96,6797.84,36,0.2188,swipe,Utilities,672.44,0
C100052,Zain Aslam,Platinum,300,1,62.92,2024-04-22,17,2,2024,27143,4592.42,31166.18,60,0.1692,chip,Education,728.83,0
C100053,Bilal Qureshi,Blue,20,1,31.98,2024-06-17,25,2,2024,3076,580.34,411.36,7,0.1887,online,Grocery,162.66,0
C100054,Ibrahim Nawaz,Gold,150,1,169.8,2024-09-30,40,4,2024,13567,2097.63,4543.19,20,0.1546,online,Food,535.33,0
C100055,Khalid Butt,Silver,50,0,77.72,2024-01-15,3,1,2024,6171,2573.51,1690.08,13,0.417,chip,Fuel,750.35,0
C100056,Zara Iqbal,Gold,150,1,133.44,2024-07-15,29,3,2024,19488,6847.22,11102.85,39,0.3514,swipe,Utilities,1589.97,0
C100057,Leen Khan,Silver,50,1,23.17,2024-12-16,51,4,2024,7663,2759.46,6851.8,22,0.3601,swipe,Utilities,388.37,0
C100058,Aisha Batool,Platinum,300,1,148.79,2024-12-02,49,4,2024,27011,5093.46,14049.16,55,0.1886,chip,Entertainment,827.88,0
C100059,Sara Zafar,Silver,50,1,49.87,2024-03-04,10,1,2024,6608,363.63,1235.17,12,0.055,chip,Healthcare,108.91,0
C100060,Nadia Batool,Gold,150,1,243.52,2024-10-14,42,4,2024,11680,895.67,4116.53,19,0.0767,online,Healthcare,236.53,0
C100061,Mohammad Sheikh,Blue,20,1,46.66,2024-10-21,43,4,2024,2114,489.25,44.72,4,0.2314,swipe,Shopping,124.54,0
C100062,Latif Batool,Blue,20,1,28.93,2024-03-25,13,1,2024,2944,1440.05,180.6,3,0.4891,swipe,Grocery,257.64,1
C100063,Salma Zafar,Blue,20,0,38.53,2024-04-29,18,2,2024,3570,2993.51,356.76,6,0.8385,swipe,Entertainment,600.95,1
C100064,Yasir Malik,Blue,20,1,11.32,2024-08-26,35,3,2024,3839,1737.12,1403.94,12,0.4525,swipe,Grocery,389.31,0
C100065,Kiran Rashid,Gold,150,1,94.09,2024-07-22,30,3,2024,14448,1054.67,5186.74,21,0.073,chip,Travel,170.75,0
C100066,Mohammad Saleem,Gold,150,1,197.79,2024-02-19,8,1,2024,16580,7636.75,16230.33,36,0.4606,online,Utilities,1970.93,1
C100067,Noman Farooq,Blue,20,1,32.24,2024-02-26,9,1,2024,3020,2427.49,210.08,5,0.8038,online,Travel,351.96,0
C100068,Noman Aziz,Silver,50,0,62.15,2024-08-12,33,3,2024,7268,2425.6,1366.25,16,0.3337,swipe,Bills,508.34,0
C100069,Zubair Farooq,Platinum,300,1,320.78,2024-08-26,35,3,2024,42395,5484.9,74883.72,94,0.1294,online,Entertainment,1533.97,0
C100070,Ibrahim Abbasi,Gold,150,1,159.2,2024-04-29,18,2,2024,14321,4538.26,9554.51,31,0.3169,online,Education,1047.75,1
C100071,Yahya Qureshi,Blue,20,1,17.03,2024-09-30,40,4,2024,3166,1317.68,673.0,9,0.4162,chip,Travel,198.25,1
C100072,Nadia Khalil,Blue,20,1,34.95,2024-07-29,31,3,2024,4022,1599.59,337.18,8,0.3977,online,Shopping,346.76,0
C100073,Sara Hussain,Blue,20,1,41.04,2024-10-21,43,4,2024,2453,1003.15,253.44,6,0.4089,swipe,Food,175.47,0
C100074,Kiran Aslam,Silver,50,0,46.69,2024-05-27,22,2,2024,5188,3320.12,967.6,10,0.64,online,Healthcare,563.86,0
C100075,Mumtaz Naeem,Gold,150,1,89.41,2024-04-22,17,2,2024,13407,5576.65,7610.4,25,0.416,online,Healthcare,1309.79,0
C100076,Nadia Zafar,Gold,150,1,79.67,2024-03-25,13,1,2024,12889,5781.49,9579.07,33,0.4486,online,Travel,1049.69,0
C100077,Mumtaz Khan,Platinum,300,1,246.69,2024-12-02,49,4,2024,24411,19771.51,24136.67,37,0.8099,chip,Grocery,5376.84,0
C100078,Hussain Riaz,Silver,50,1,76.48,2024-07-08,28,3,2024,5694,1359.56,1015.17,12,0.2388,online,Utilities,338.29,0
C100079,Hamza Abbasi,Platinum,300,1,388.22,2024-07-29,31,3,2024,33550,12037.64,44095.82,58,0.3588,online,Grocery,3287.98,0
C100080,Mumtaz Hussain,Platinum,300,1,227.43,2024-11-25,48,4,2024,33464,7478.09,41684.29,62,0.2235,chip,Food,1174.93,0
C100081,Hafsa Rashid,Gold,150,1,131.97,2024-04-29,18,2,2024,21489,5912.79,39234.81,60,0.2752,chip,Education,1112.52,0
C100082,Kiran Rashid,Silver,50,1,42.74,2024-07-01,27,3,2024,7612,2590.89,2359.1,16,0.3404,chip,Fuel,372.92,0
C100083,Ali Abbasi,Gold,150,0,195.15,2024-02-19,8,1,2024,16131,376.33,8693.83,35,0.0233,swipe,Food,57.65,0
C100084,Kiran Batool,Platinum,300,1,362.19,2024-04-08,15,2,2024,36911,20567.52,61647.43,64,0.5572,chip,Fuel,4226.49,0
C100085,Hafsa Anjum,Gold,150,1,108.42,2024-12-16,51,4,2024,12924,5485.9,4797.12,21,0.4245,swipe,Grocery,1530.45,0
C100086,Kiran Naeem,Blue,20,1,38.49,2024-12-02,49,4,2024,2976,1928.93,289.37,4,0.6482,online,Grocery,481.64,0
C100087,Hamza Khan,Gold,150,1,54.8,2024-02-19,8,1,2024,14850,5933.46,6038.82,29,0.3996,online,Shopping,899.46,0
C100088,Imran Khalil,Blue,20,1,24.57,2024-09-23,39,3,2024,1488,228.03,50.13,5,0.1532,swipe,Entertainment,52.34,0
C100089,Mumtaz Abbasi,Silver,50,1,32.47,2024-10-28,44,4,2024,6966,583.42,1642.27,12,0.0838,online,Shopping,100.36,0
C100090,Hassan Javed,Platinum,300,1,389.94,2024-08-19,34,3,2024,34485,13358.81,47841.18,51,0.3874,swipe,Fuel,2041.47,0
C100091,Hamza Khan,Silver,50,1,52.29,2024-09-02,36,3,2024,8633,5630.99,4983.8,22,0.6523,chip,Shopping,985.84,0
C100092,Hamza Javed,Platinum,300,1,302.28,2024-05-20,21,2,2024,26612,12404.03,32720.42,57,0.4661,swipe,Food,1879.85,0
C100093,Yasir Ahmed,Blue,20,1,43.09,2024-10-07,41,4,2024,3451,1654.91,672.48,8,0.4795,chip,Education,473.27,0
C100094,Rana Farooq,Gold,150,1,145.58,2024-04-22,17,2,2024,13281,2738.74,5607.06,29,0.2062,online,Utilities,462.73,0
C100095,Rida Nawaz,Silver,50,1,49.49,2024-08-05,32,3,2024,5992,287.67,1998.47,11,0.048,swipe,Bills,70.5,0
C100096,Imran Javed,Blue,20,1,43.29,2024-04-08,15,2,2024,2930,410.3,195.13,4,0.14,online,Grocery,97.96,0
C100097,Omar Rashid,Blue,20,1,19.94,2024-10-28,44,4,2024,3986,729.27,771.11,9,0.183,swipe,Fuel,116.35,0
C100098,Zain Pervez,Blue,20,1,38.79,2024-04-01,14,2,2024,3041,2369.56,203.35,3,0.7792,online,Food,384.68,0
C100099,Hussain Javed,Blue,20,1,18.74,2024-05-27,22,2,2024,5350,897.69,1344.32,10,0.1678,swipe,Travel,214.42,0
C100100,Rana Anjum,Platinum,300,1,270.11,2024-08-26,35,3,2024,32554,5034.84,63060.17,70,0.1547,online,Education,1509.98,0
C100101,Fatima Javed,Platinum,300,1,350.51,2024-01-29,5,1,2024,32076,7023.8,46286.88,71,0.219,online,Education,1839.99,1
C100102,Fatima Malik,Blue,20,1,26.43,2024-06-03,23,2,2024,2017,317.04,135.9,3,0.1572,chip,Utilities,56.44,0
C100103,Sara Nazir,Silver,50,1,24.14,2024-09-23,39,3,2024,9328,3627.96,2028.87,11,0.3889,online,Education,786.07,0
C100104,Maryam Riaz,Silver,50,1,22.21,2024-10-14,42,4,2024,6512,2454.69,1296.19,14,0.3769,swipe,Food,367.33,0
C100105,Zain Abbasi,Blue,20,1,27.73,2024-12-02,49,4,2024,3313,1392.56,309.83,4,0.4203,chip,Travel,287.1,1
C100106,Zubair Ahmed,Blue,20,1,28.39,2024-12-16,51,4,2024,3618,1945.65,415.65,6,0.5378,swipe,Education,568.57,1
C100107,Bilal Sheikh,Gold,150,1,177.9,2024-08-19,34,3,2024,15191,2524.44,13601.73,38,0.1662,chip,Utilities,464.42,0
C100108,Rida Batool,Gold,150,1,105.84,2024-02-26,9,1,2024,12921,6651.75,8303.38,28,0.5148,swipe,Utilities,1161.92,0
C100109,Ibrahim Pervez,Blue,20,1,44.7,2024-06-03,23,2,2024,2412,1264.49,357.86,6,0.5242,swipe,Fuel,203.01,0
C100110,Latif Anjum,Silver,50,1,56.05,2024-07-22,30,3,2024,8656,1389.75,2254.22,18,0.1606,online,Bills,372.53,0
C100111,Latif Ahmed,Silver,50,1,54.68,2024-06-10,24,2,2024,5845,1505.49,801.08,16,0.2576,swipe,Entertainment,322.83,1
C100112,Bilal Batool,Gold,150,1,124.63,2024-01-08,2,1,2024,20839,7740.99,16783.22,57,0.3715,swipe,Entertainment,1514.23,0
C100113,Omar Siddiqui,Silver,50,1,71.83,2024-05-20,21,2,2024,5644,1190.89,1848.89,17,0.211,chip,Fuel,265.99,0
C100114,Rana Ahmed,Silver,50,1,35.02,2024-06-10,24,2,2024,8170,3634.45,3712.95,20,0.4449,swipe,Grocery,1053.68,0
C100115,Hamza Iqbal,Gold,150,1,31.86,2024-07-22,30,3,2024,11006,3318.01,5250.68,20,0.3015,swipe,Food,958.56,0
C100116,Zara Javed,Blue,20,0,28.81,2024-07-22,30,3,2024,3065,1175.62,421.07,7,0.3836,swipe,Food,189.51,0
C100117,Mumtaz Farooq,Silver,50,1,44.0,2024-07-01,27,3,2024,10697,3239.64,1990.21,25,0.3029,swipe,Education,523.61,0
C100118,Fatima Rashid,Blue,20,1,36.36,2024-05-27,22,2,2024,3045,440.38,334.95,6,0.1446,online,Education,94.05,0
C100119,Tariq Naeem,Blue,20,1,25.95,2024-10-07,41,4,2024,3118,1381.49,243.03,4,0.4431,chip,Bills,329.4,0
C100120,Bilal Pervez,Platinum,300,1,101.51,2024-02-26,9,1,2024,36646,8938.42,34498.84,74,0.2439,swipe,Travel,2351.6,0
C100121,Yahya Shah,Gold,150,1,111.63,2024-09-02,36,3,2024,14910,6062.41,9257.74,29,0.4066,online,Utilities,1082.7,0
C100122,Sara Aslam,Blue,20,1,36.95,2024-03-04,10,1,2024,2987,2125.35,166.68,4,0.7115,chip,Entertainment,431.69,0
C100123,Sara Zafar,Platinum,300,1,229.07,2024-01-01,1,1,2024,40298,17041.82,77542.6,89,0.4229,online,Entertainment,3644.16,0
C100124,Rida Batool,Silver,50,1,74.29,2024-09-30,40,4,2024,9115,941.46,3924.42,25,0.1033,online,Shopping,234.27,0
C100125,Mumtaz Aslam,Silver,50,1,53.69,2024-04-01,14,2,2024,6452,3388.71,438.65,6,0.5252,swipe,Utilities,568.82,0
C100126,Bilal Riaz,Gold,150,1,86.02,2024-08-26,35,3,2024,15847,1957.24,15726.28,36,0.1235,swipe,Healthcare,516.6,0
C100127,Sara Siddiqui,Platinum,300,1,466.5,2024-10-28,44,4,2024,33191,14466.33,51830.14,74,0.4359,online,Grocery,2321.78,0
C100128,Latif Anjum,Silver,50,1,45.79,2024-03-11,11,1,2024,7835,2636.44,752.76,12,0.3365,online,Travel,452.4,1
C100129,Khalid Zafar,Gold,150,1,159.16,2024-02-05,6,1,2024,15922,2083.53,8905.94,28,0.1309,online,Bills,550.53,0
C100130,Zara Mir,Gold,150,1,144.14,2024-09-30,40,4,2024,11883,3905.02,7559.08,33,0.3286,chip,Fuel,1071.98,1
C100131,Yahya Qureshi,Gold,150,1,201.71,2024-02-19,8,1,2024,15926,5398.55,8828.57,33,0.339,swipe,Grocery,894.06,0
C100132,Maryam Saleem,Blue,20,1,29.76,2024-01-29,5,1,2024,2799,320.72,504.29,6,0.1146,online,Shopping,73.34,0
C100133,Sara Qureshi,Silver,50,1,27.87,2024-04-01,14,2,2024,4825,369.79,851.99,12,0.0766,chip,Travel,86.09,0
C100134,Nadia Nazir,Gold,150,1,210.56,2024-10-21,43,4,2024,20583,3491.32,16791.24,43,0.1696,chip,Utilities,675.49,0
C100135,Khalid Farooq,Blue,20,1,41.46,2024-08-26,35,3,2024,3557,1118.97,380.15,6,0.3146,online,Bills,297.32,1
C100136,Latif Nawaz,Platinum,300,1,154.06,2024-08-05,32,3,2024,28414,8416.48,66920.83,65,0.2962,swipe,Entertainment,1210.88,0
C100137,Maryam Rashid,Platinum,300,1,327.14,2024-02-19,8,1,2024,26305,4758.45,34057.99,53,0.1809,chip,Healthcare,1033.89,0
C100138,Kiran Sheikh,Platinum,300,1,427.23,2024-12-02,49,4,2024,29807,3368.05,31435.81,58,0.113,online,Entertainment,987.04,1
C100139,Fatima Ullah,Gold,150,1,77.16,2024-05-20,21,2,2024,12070,2272.79,5510.64,20,0.1883,chip,Fuel,368.83,0
C100140,Bilal Mir,Blue,20,1,40.61,2024-12-02,49,4,2024,1060,496.49,45.61,2,0.4684,swipe,Travel,90.18,0
C100141,Ahmed Sheikh,Gold,150,1,59.79,2024-07-01,27,3,2024,17382,718.17,11196.96,29,0.0413,swipe,Travel,126.43,0
C100142,Yahya Zafar,Gold,150,1,98.42,2024-03-04,10,1,2024,16898,3111.32,11204.92,35,0.1841,swipe,Shopping,676.87,0
C100143,Ibrahim Pervez,Blue,20,1,40.85,2024-09-02,36,3,2024,3349,1212.74,346.01,7,0.3621,online,Shopping,209.54,0
C100144,Imran Ahmed,Blue,20,0,36.14,2024-12-09,50,4,2024,2711,330.04,261.67,4,0.1217,swipe,Healthcare,89.62,0
C100145,Zubair Nawaz,Blue,20,1,23.18,2024-05-13,20,2,2024,4047,2316.62,1218.24,11,0.5724,swipe,Grocery,688.88,0
C100146,Khalid Yousaf,Silver,50,1,41.93,2024-07-08,28,3,2024,6497,1089.26,2481.07,15,0.1677,chip,Utilities,324.01,0
C100147,Salma Saleem,Platinum,300,1,393.23,2024-11-04,45,4,2024,38041,19113.56,54488.72,74,0.5024,chip,Grocery,4912.94,0
C100148,Imran Ullah,Gold,150,1,105.82,2024-02-26,9,1,2024,16015,7622.33,10666.05,38,0.4759,chip,Food,1669.85,0
C100149,Maryam Siddiqui,Blue,20,1,41.91,2024-09-30,40,4,2024,2601,1833.37,161.73,4,0.7049,chip,Healthcare,360.04,0
C100150,Mumtaz Iqbal,Silver,50,1,74.5,2024-07-29,31,3,2024,6845,1157.69,1330.94,9,0.1691,swipe,Grocery,281.16,0
C100151,Salma Iqbal,Platinum,300,1,443.89,2024-12-16,51,4,2024,30884,8379.47,40801.39,57,0.2713,online,Utilities,1522.1,0
C100152,Hafsa Riaz,Silver,50,0,63.01,2024-07-01,27,3,2024,7409,1621.21,839.75,15,0.2188,swipe,Shopping,255.69,1
C100153,Ibrahim Rashid,Platinum,300,0,240.95,2024-08-19,34,3,2024,26252,9089.26,27327.71,48,0.3462,chip,Utilities,2329.28,0
C100154,Tariq Khan,Blue,20,1,23.68,2024-03-04,10,1,2024,3710,2880.88,422.89,6,0.7765,swipe,Utilities,745.89,1
C100155,Zubair Rashid,Silver,50,1,67.98,2024-04-29,18,2,2024,7642,2465.89,2612.45,16,0.3227,online,Travel,550.96,0
C100156,Tariq Khan,Blue,20,0,32.86,2024-03-04,10,1,2024,2258,727.84,191.82,7,0.3223,swipe,Entertainment,172.6,0
C100157,Ali Batool,Platinum,300,1,424.96,2024-07-01,27,3,2024,38552,5229.23,48181.31,82,0.1356,chip,Fuel,1262.63,0
C100158,Omar Javed,Blue,20,1,28.73,2024-09-23,39,3,2024,3488,1556.07,210.03,4,0.4461,chip,Grocery,219.22,0
C100159,Asad Shah,Silver,50,1,71.69,2024-04-22,17,2,2024,5995,1314.56,1409.14,13,0.2193,swipe,Food,256.65,0
C100160,Noman Sheikh,Silver,50,0,71.52,2024-01-29,5,1,2024,5872,343.73,1266.24,12,0.0585,online,Healthcare,81.56,0
C100161,Zain Siddiqui,Gold,150,1,164.22,2024-02-05,6,1,2024,14455,2811.1,4340.62,17,0.1945,online,Fuel,559.55,0
C100162,Hussain Javed,Gold,150,1,109.87,2024-12-30,1,4,2024,12326,1343.87,5203.11,29,0.109,online,Healthcare,315.79,0
C100163,Noman Sheikh,Silver,50,1,54.13,2024-02-19,8,1,2024,8735,1401.51,4822.31,23,0.1604,swipe,Grocery,305.19,0
C100164,Zubair Hashmi,Platinum,300,1,195.13,2024-04-22,17,2,2024,28543,3403.85,32665.34,47,0.1193,online,Shopping,843.05,0
C100165,Rehan Iqbal,Gold,150,1,74.7,2024-06-03,23,2,2024,17536,6172.51,11271.93,41,0.352,swipe,Entertainment,1439.13,0
C100166,Sara Batool,Platinum,300,1,380.43,2024-02-12,7,1,2024,35675,10439.56,26851.5,77,0.2926,chip,Healthcare,2540.27,1
C100167,Asad Naeem,Blue,20,1,13.05,2024-10-14,42,4,2024,2655,315.68,225.57,4,0.1189,swipe,Shopping,68.72,0
C100168,Sara Nawaz,Platinum,300,0,250.55,2024-07-29,31,3,2024,26765,6806.66,28758.32,73,0.2543,swipe,Food,1933.18,0
C100169,Tariq Sheikh,Silver,50,1,63.94,2024-04-15,16,2,2024,9397,2645.66,3389.66,20,0.2815,chip,Education,604.78,0
C100170,Zain Nawaz,Gold,150,1,195.5,2024-05-20,21,2,2024,8883,1352.02,3490.76,22,0.1522,swipe,Utilities,398.34,0
C100171,Zubair Abbasi,Gold,150,1,24.99,2024-11-25,48,4,2024,13583,1655.46,11837.67,28,0.1219,swipe,Food,396.16,0
C100172,Ibrahim Khan,Blue,20,1,24.63,2024-06-03,23,2,2024,3719,1212.06,431.16,9,0.3259,online,Shopping,198.54,1
C100173,Sara Yousaf,Gold,150,1,138.1,2024-11-18,47,4,2024,13891,5356.02,5465.89,27,0.3856,chip,Grocery,1187.99,0
C100174,Sana Aslam,Silver,50,1,104.32,2024-07-08,28,3,2024,5912,3016.16,1288.39,11,0.5102,online,Shopping,634.19,0
C100175,Kiran Nazir,Blue,20,1,37.12,2024-03-18,12,1,2024,2878,854.09,67.4,5,0.2968,swipe,Food,148.37,0
C100176,Ibrahim Farooq,Gold,150,1,94.29,2024-08-12,33,3,2024,13405,5415.92,7191.05,20,0.404,online,Entertainment,1180.78,1
C100177,Rohail Anjum,Blue,20,1,28.04,2024-12-09,50,4,2024,3856,1785.07,378.25,6,0.4629,swipe,Fuel,451.86,0
C100178,Maryam Hussain,Blue,20,0,10.71,2024-01-29,5,1,2024,2346,799.65,175.18,6,0.3409,chip,Utilities,194.84,0
C100179,Sana Abbasi,Blue,20,1,6.23,2024-06-10,24,2,2024,3221,1152.99,445.61,8,0.358,chip,Food,186.11,0
C100180,Leen Butt,Blue,20,1,23.71,2024-04-22,17,2,2024,1584,611.43,59.6,2,0.386,swipe,Bills,85.97,0
C100181,Farah Ahmed,Silver,50,1,66.5,2024-08-05,32,3,2024,7232,731.8,1084.98,12,0.1012,chip,Education,153.25,0
C100182,Zara Yousaf,Silver,50,1,45.47,2024-11-18,47,4,2024,6004,2430.6,2968.83,21,0.4048,online,Entertainment,405.21,1
C100183,Ateeq Zafar,Blue,20,0,41.58,2024-08-19,34,3,2024,3740,2182.53,831.26,8,0.5836,swipe,Shopping,434.31,1
C100184,Zain Qureshi,Silver,50,1,39.84,2024-02-05,6,1,2024,3555,328.22,795.73,11,0.0923,online,Entertainment,83.41,0
C100185,Bilal Zafar,Gold,150,1,129.23,2024-11-18,47,4,2024,10893,3305.11,2943.32,19,0.3034,chip,Bills,676.51,0
C100186,Farah Nawaz,Gold,150,1,235.81,2024-03-11,11,1,2024,12016,5036.13,8752.12,37,0.4191,chip,Grocery,806.22,1
C100187,Yasir Butt,Gold,150,1,108.59,2024-11-25,48,4,2024,19642,5162.67,16530.32,35,0.2628,chip,Travel,970.42,0
C100188,Rana Farooq,Gold,150,1,127.91,2024-08-12,33,3,2024,10597,6470.22,5945.86,27,0.6106,swipe,Fuel,973.84,0
C100189,Salma Zafar,Platinum,300,1,175.69,2024-03-18,12,1,2024,23445,5981.98,15807.32,47,0.2551,online,Grocery,909.84,0
C100190,Maryam Naeem,Blue,20,1,14.88,2024-09-16,38,3,2024,3184,2419.9,289.47,5,0.76,chip,Entertainment,694.02,1
